knob,arm,section,branch,stage_m_msl,above_attainable_max,p_f_baseline,p_f_arm,ratio_arm_to_baseline,anchor,p_f_trans_baseline_at_stage
m_p,m_p,KP62.0,transient,55.0,True,0.9751,0.97356,0.998421,,0.9751
m_p,m_p,KP62.0,transient,55.5,True,0.98104,0.97968,0.998614,,0.98104
m_p,m_p,KP62.0,transient,56.0,True,0.98544,0.98461,0.999158,,0.98544
m_p,m_p,KP62.0,transient,56.5,True,0.9888,0.98793,0.99912,grid_top,0.9888
z_toe,ztoe_minus0.30m,KP57.4,static,34.75,False,0.0,0.0,,,0.0
z_toe,ztoe_minus0.30m,KP57.4,static,36.5,False,0.0,0.0,,,0.0
z_toe,ztoe_minus0.30m,KP57.4,static,38.0,False,0.0,0.0,,,0.0
z_toe,ztoe_minus0.30m,KP57.4,static,38.5,False,0.0,0.0,,,0.0
z_toe,ztoe_minus0.30m,KP57.4,static,38.75,False,0.0,1e-05,,,0.0
z_toe,ztoe_minus0.30m,KP57.4,static,39.0,False,0.0,0.0011,,,0.0
z_toe,ztoe_minus0.30m,KP57.4,static,39.25,False,0.00051,0.01289,25.27451,design_hwl,0.0
z_toe,ztoe_minus0.30m,KP57.4,static,39.5,False,0.0085,0.0618,7.270588,lowest_reachable,0.00014
z_toe,ztoe_minus0.30m,KP57.4,static,39.75,False,0.04729,0.16766,3.545358,rising_limb,0.00295
z_toe,ztoe_minus0.30m,KP57.4,static,40.0,False,0.14186,0.32336,2.27943,,0.01809
z_toe,ztoe_minus0.30m,KP57.4,static,40.25,False,0.28936,0.49416,1.707769,,0.06005
z_toe,ztoe_minus0.30m,KP57.4,static,40.5,False,0.45986,0.64781,1.408711,,0.13377
z_toe,ztoe_minus0.30m,KP57.4,static,40.75,False,0.61922,0.77016,1.243758,,0.2382
z_toe,ztoe_minus0.30m,KP57.4,static,41.0,False,0.74928,0.85764,1.144619,,0.35726
z_toe,ztoe_minus0.30m,KP57.4,static,41.25,False,0.84239,0.91596,1.087335,transition_midpoint,0.4773
z_toe,ztoe_minus0.30m,KP57.4,static,41.5,False,0.90562,0.95122,1.050352,,0.58726
z_toe,ztoe_minus0.30m,KP57.4,static,41.75,False,0.9457,0.97238,1.028212,,0.6799
z_toe,ztoe_minus0.30m,KP57.4,static,42.0,False,0.96905,0.98468,1.016129,,0.75624
z_toe,ztoe_minus0.30m,KP57.4,static,42.25,False,0.98277,0.99178,1.009168,,0.81677
