river,bank,kp,mechanism,scenario,stage_m_msl,p_f
Satsunai,left,4,overflow,plus4K,40.6,0.9207
Satsunai,left,4,overflow,plus4K,40.8,0.9795
Satsunai,left,4,overflow,plus4K,41,0.995
Satsunai,left,4,overflow,plus4K,41.2,0.9994
Satsunai,left,4,overflow,plus4K,41.4,1
Satsunai,left,4,overflow,plus4K,41.6,1
Satsunai,left,4,overflow,plus4K,41.8,1
Satsunai,left,4,overflow,plus4K,42,1
Satsunai,left,4,overflow,plus4K,42.2,1
Satsunai,left,4,overflow,plus4K,42.4,1
Satsunai,left,4,overflow,plus4K,42.6,1
Satsunai,left,4.2,overflow,historical,35.4,0
Satsunai,left,4.2,overflow,historical,35.6,0
Satsunai,left,4.2,overflow,historical,35.8,0
Satsunai,left,4.2,overflow,historical,36,0
Satsunai,left,4.2,overflow,historical,36.2,0
Satsunai,left,4.2,overflow,historical,36.4,0
Satsunai,left,4.2,overflow,historical,36.6,0
Satsunai,left,4.2,overflow,historical,36.8,0
Satsunai,left,4.2,overflow,historical,37,0
Satsunai,left,4.2,overflow,historical,37.2,0
Satsunai,left,4.2,overflow,historical,37.4,0
Satsunai,left,4.2,overflow,historical,37.6,0
Satsunai,left,4.2,overflow,historical,37.8,0
Satsunai,left,4.2,overflow,historical,38,0
Satsunai,left,4.2,overflow,historical,38.2,0
Satsunai,left,4.2,overflow,historical,38.4,0
Satsunai,left,4.2,overflow,historical,38.6,0
Satsunai,left,4.2,overflow,historical,38.8,0
Satsunai,left,4.2,overflow,historical,39,0.0001
Satsunai,left,4.2,overflow,historical,39.2,0.0035
Satsunai,left,4.2,overflow,historical,39.4,0.0226
Satsunai,left,4.2,overflow,historical,39.6,0.099
Satsunai,left,4.2,overflow,historical,39.8,0.2876
Satsunai,left,4.2,overflow,historical,40,0.5564
Satsunai,left,4.2,overflow,historical,40.2,0.8041
Satsunai,left,4.2,overflow,historical,40.4,0.9394
Satsunai,left,4.2,overflow,historical,40.6,0.986
Satsunai,left,4.2,overflow,historical,40.8,0.9977
Satsunai,left,4.2,overflow,historical,41,0.9995
Satsunai,left,4.2,overflow,historical,41.2,1
Satsunai,left,4.2,overflow,historical,41.4,1
Satsunai,left,4.2,overflow,historical,41.6,1
Satsunai,left,4.2,overflow,historical,41.8,1
Satsunai,left,4.2,overflow,historical,42,1
Satsunai,left,4.2,overflow,historical,42.2,1
Satsunai,left,4.2,overflow,historical,42.4,1
Satsunai,left,4.2,overflow,historical,42.6,1
Satsunai,left,4.2,overflow,plus4K,35.4,0
Satsunai,left,4.2,overflow,plus4K,35.6,0
Satsunai,left,4.2,overflow,plus4K,35.8,0
Satsunai,left,4.2,overflow,plus4K,36,0
Satsunai,left,4.2,overflow,plus4K,36.2,0
Satsunai,left,4.2,overflow,plus4K,36.4,0
Satsunai,left,4.2,overflow,plus4K,36.6,0
Satsunai,left,4.2,overflow,plus4K,36.8,0
Satsunai,left,4.2,overflow,plus4K,37,0
Satsunai,left,4.2,overflow,plus4K,37.2,0
Satsunai,left,4.2,overflow,plus4K,37.4,0
Satsunai,left,4.2,overflow,plus4K,37.6,0
Satsunai,left,4.2,overflow,plus4K,37.8,0
Satsunai,left,4.2,overflow,plus4K,38,0
Satsunai,left,4.2,overflow,plus4K,38.2,0
Satsunai,left,4.2,overflow,plus4K,38.4,0
Satsunai,left,4.2,overflow,plus4K,38.6,0
Satsunai,left,4.2,overflow,plus4K,38.8,0
