river,bank,kp,mechanism,scenario,stage_m_msl,p_f
Satsunai,left,4,overflow,plus4K,42,1
Satsunai,left,4,fluvial_scour,plus4K,42,0
Satsunai,left,4,overflow,plus4K,42.2,1
Satsunai,left,4,fluvial_scour,plus4K,42.2,0
Satsunai,left,4,overflow,plus4K,42.4,1
Satsunai,left,4,fluvial_scour,plus4K,42.4,0
Satsunai,left,4,overflow,plus4K,42.6,1
Satsunai,left,4,fluvial_scour,plus4K,42.6,0
Satsunai,left,4.2,overflow,plus4K,35.4,0
Satsunai,left,4.2,fluvial_scour,plus4K,35.4,0
Satsunai,left,4.2,overflow,plus4K,35.6,0
Satsunai,left,4.2,fluvial_scour,plus4K,35.6,0
Satsunai,left,4.2,overflow,plus4K,35.8,0
Satsunai,left,4.2,fluvial_scour,plus4K,35.8,0
Satsunai,left,4.2,overflow,plus4K,36,0
Satsunai,left,4.2,fluvial_scour,plus4K,36,0
Satsunai,left,4.2,overflow,plus4K,36.2,0
Satsunai,left,4.2,fluvial_scour,plus4K,36.2,0
Satsunai,left,4.2,overflow,plus4K,36.4,0
Satsunai,left,4.2,fluvial_scour,plus4K,36.4,0
Satsunai,left,4.2,overflow,plus4K,36.6,0
Satsunai,left,4.2,fluvial_scour,plus4K,36.6,0
Satsunai,left,4.2,overflow,plus4K,36.8,0
Satsunai,left,4.2,fluvial_scour,plus4K,36.8,0
Satsunai,left,4.2,overflow,plus4K,37,0
Satsunai,left,4.2,fluvial_scour,plus4K,37,0
Satsunai,left,4.2,overflow,plus4K,37.2,0
Satsunai,left,4.2,fluvial_scour,plus4K,37.2,0
Satsunai,left,4.2,overflow,plus4K,37.4,0
Satsunai,left,4.2,fluvial_scour,plus4K,37.4,0
Satsunai,left,4.2,overflow,plus4K,37.6,0
Satsunai,left,4.2,fluvial_scour,plus4K,37.6,0
Satsunai,left,4.2,overflow,plus4K,37.8,0
Satsunai,left,4.2,fluvial_scour,plus4K,37.8,0
Satsunai,left,4.2,overflow,plus4K,38,0
Satsunai,left,4.2,fluvial_scour,plus4K,38,0
Satsunai,left,4.2,overflow,plus4K,38.2,0
Satsunai,left,4.2,fluvial_scour,plus4K,38.2,0
Satsunai,left,4.2,overflow,plus4K,38.4,0
Satsunai,left,4.2,fluvial_scour,plus4K,38.4,0
Satsunai,left,4.2,overflow,plus4K,38.6,0
Satsunai,left,4.2,fluvial_scour,plus4K,38.6,0
Satsunai,left,4.2,overflow,plus4K,38.8,0.0003
Satsunai,left,4.2,fluvial_scour,plus4K,38.8,0
Satsunai,left,4.2,overflow,plus4K,39,0.0063
Satsunai,left,4.2,fluvial_scour,plus4K,39,0
Satsunai,left,4.2,overflow,plus4K,39.2,0.0338
Satsunai,left,4.2,fluvial_scour,plus4K,39.2,0
Satsunai,left,4.2,overflow,plus4K,39.4,0.1333
Satsunai,left,4.2,fluvial_scour,plus4K,39.4,0
Satsunai,left,4.2,overflow,plus4K,39.6,0.3398
Satsunai,left,4.2,fluvial_scour,plus4K,39.6,0
Satsunai,left,4.2,overflow,plus4K,39.8,0.6181
Satsunai,left,4.2,fluvial_scour,plus4K,39.8,0
Satsunai,left,4.2,overflow,plus4K,40,0.8435
Satsunai,left,4.2,fluvial_scour,plus4K,40,0
Satsunai,left,4.2,overflow,plus4K,40.2,0.9561
Satsunai,left,4.2,fluvial_scour,plus4K,40.2,0
Satsunai,left,4.2,overflow,plus4K,40.4,0.9905
Satsunai,left,4.2,fluvial_scour,plus4K,40.4,0
Satsunai,left,4.2,overflow,plus4K,40.6,0.9981
Satsunai,left,4.2,fluvial_scour,plus4K,40.6,0
Satsunai,left,4.2,overflow,plus4K,40.8,0.9999
Satsunai,left,4.2,fluvial_scour,plus4K,40.8,0
Satsunai,left,4.2,overflow,plus4K,41,1
Satsunai,left,4.2,fluvial_scour,plus4K,41,0
Satsunai,left,4.2,overflow,plus4K,41.2,1
Satsunai,left,4.2,fluvial_scour,plus4K,41.2,0
Satsunai,left,4.2,overflow,plus4K,41.4,1
Satsunai,left,4.2,fluvial_scour,plus4K,41.4,0
Satsunai,left,4.2,overflow,plus4K,41.6,1
Satsunai,left,4.2,fluvial_scour,plus4K,41.6,0
Satsunai,left,4.2,overflow,plus4K,41.8,1
Satsunai,left,4.2,fluvial_scour,plus4K,41.8,0
Satsunai,left,4.2,overflow,plus4K,42,1
Satsunai,left,4.2,fluvial_scour,plus4K,42,0
Satsunai,left,4.2,overflow,plus4K,42.2,1
Satsunai,left,4.2,fluvial_scour,plus4K,42.2,0
Satsunai,left,4.2,overflow,plus4K,42.4,1
Satsunai,left,4.2,fluvial_scour,plus4K,42.4,0
Satsunai,left,4.2,overflow,plus4K,42.6,1
Satsunai,left,4.2,fluvial_scour,plus4K,42.6,0
Satsunai,left,4.4,overflow,plus4K,36.2,0
Satsunai,left,4.4,fluvial_scour,plus4K,36.2,0
Satsunai,left,4.4,overflow,plus4K,36.4,0
Satsunai,left,4.4,fluvial_scour,plus4K,36.4,0
Satsunai,left,4.4,overflow,plus4K,36.6,0
Satsunai,left,4.4,fluvial_scour,plus4K,36.6,0
Satsunai,left,4.4,overflow,plus4K,36.8,0
